chalcopyrite1.jpg,chalcopyrite2.png,chalcopyrite3.png,pyrite1.png,pyrite2.png
36.0,54,12.0,41.0,32.0
15.0,383,12.0,23.0,36.0
31.0,209,41.0,9.0,73.0
12.0,1350,22.0,132.0,57.0
24.0,381,22.0,14.0,18.0
9.0,9,225.0,35.0,39.0
9.0,12,37.0,9.0,206.0
9.0,93,32.0,147.0,12.0
9.0,12,12.0,13.0,19.0
12.0,23,53.0,12.0,21.0
23.0,73,145.0,9.0,27.0
118.0,9,48.0,9.0,18.0
122.0,80,137.0,9.0,9.0
9.0,50,41.0,21.0,12.0
27.0,54,97.0,9.0,18.0
18.0,177,201.0,12.0,20.0
15.0,37,22.0,61.0,76.0
28.0,147,210.0,15.0,23.0
17.0,19,12.0,9.0,29.0
61.0,321,43.0,9.0,41.0
15.0,45,9.0,9.0,141.0
90.0,21,12.0,9.0,15.0
50.0,9,18.0,15.0,29.0
28.0,67,142.0,15.0,70.0
15.0,27,15.0,9.0,34.0
77.0,9,22.0,17.0,9.0
119.0,12,12.0,9.0,12.0
12.0,43,9.0,9.0,94.0
9.0,51,40.0,49.0,22.0
9.0,233,475.0,28.0,110.0
30.0,49,42.0,87.0,73.0
31.0,130,50.0,12.0,9.0
15.0,240,176.0,9.0,14.0
17.0,28,12.0,18.0,9.0
12.0,52,9.0,39.0,21.0
19.0,23,62.0,84.0,21.0
9.0,226,12.0,15.0,19.0
38.0,83,174.0,39.0,27.0
36.0,70,9.0,15.0,31.0
53.0,57,15.0,30.0,16.0
9.0,233,63.0,56.0,29.0
15.0,92,38.0,18.0,18.0
21.0,12,12.0,79.0,21.0
14.0,25,9.0,9.0,382.0
12.0,85,60.0,15.0,30.0
15.0,185,9.0,15.0,19.0
9.0,56,36.0,28.0,64.0
1361.0,66,37.0,26.0,29.0
938.0,237,141.0,9.0,63.0
68.0,45,73.0,31.0,12.0
38.0,48,36.0,18.0,12.0
40.0,168,12.0,34.0,12.0
,106,22.0,20.0,12.0
,9,83.0,9.0,51.0
,15,298.0,9.0,9.0
,83,110.0,12.0,21.0
,18,9.0,12.0,22.0
,120,9.0,41.0,15.0
,63,131.0,12.0,9.0
,9,9.0,26.0,26.0
,9,9.0,48.0,18.0
,284,15.0,45.0,9.0
,27,219.0,81.0,41.0
,9,17.0,35.0,96.0
,56,52.0,96.0,12.0
,207,9.0,12.0,9.0
,135,12.0,9.0,116.0
,27,25.0,45.0,37.0
,26,81.0,93.0,12.0
,22,15.0,60.0,294.0
,157,15.0,25.0,9.0
,202,9.0,56.0,12.0
,21,30.0,767.0,24.0
,26,58.0,9.0,536.0
,12,12.0,22.0,14.0
,66,73.0,9.0,116.0
,45,36.0,59.0,46.0
,9,314.0,599.0,161.0
,12,37.0,9.0,44.0
,75,26.0,1382.0,44.0
,46,21.0,17.0,9.0
,192,18.0,57.0,59.0
,18,130.0,11.0,274.0
,76,9.0,65.0,45.0
,446,15.0,288.0,12.0
,230,9.0,15.0,30.0
,120,276.0,70.0,14.0
,59,22.0,9.0,9.0
,134,12.0,9.0,18.0
,53,77.0,9.0,80.0
,51,18.0,80.0,21.0
,69,41.0,9.0,71.0
,258,18.0,9.0,9.0
,242,52.0,19.0,9.0
,9,21.0,20.0,23.0
,209,15.0,12.0,14.0
,103,15.0,19.0,12.0
,9,15.0,9.0,9.0
,165,49.0,31.0,61.0
,225,35.0,6.0,40.0
,64,9.0,9.0,9.0
,16,33.0,102.0,58.0
,82,15.0,662.0,15.0
,36,47.0,9.0,24.0
,180,9.0,51.0,18.0
,1926,111.0,26.0,45.0
,35,9.0,42.0,21.0
,77,9.0,24.0,83.0
,103,24.0,9.0,22.0
,20,12.0,284.0,15.0
,170,9.0,70.0,22.0
,483,9.0,9.0,26.0
,353,9.0,137.0,25.0
,9,63.0,12.0,45.0
,16,80.0,12.0,39.0
,810,42.0,86.0,14.0
,18,9.0,23.0,9.0
,235,148.0,15.0,9.0
,174,9.0,81.0,15.0
,168,9.0,28.0,12.0
,12,21.0,34.0,14.0
,26,18.0,18.0,45.0
,42,9.0,12.0,9.0
,81,11.0,14.0,9.0
,38,12.0,14.0,9.0
,9,158.0,9.0,665.0
,40,376.0,54.0,12.0
,271,24.0,9.0,19.0
,19,59.0,9.0,25.0
,230,37.0,24.0,17.0
,9,54.0,12.0,37.0
,215,58.0,21.0,22.0
,9,112.0,9.0,14.0
,83,9.0,79.0,33.0
,156,17.0,29.0,52.0
,15,27.0,12.0,110.0
,29,34.0,110.0,9.0
,9,9.0,9.0,19.0
,150,66.0,24.0,15.0
,22,15.0,12.0,21.0
,16,8.0,24.0,35.0
,59,16.0,96.0,100.0
,79,24.0,15.0,127.0
,175,31.0,206.0,42.0
,16,133.0,190.0,9.0
,91,9.0,20.0,31.0
,64,9.0,34.0,29.0
,116,12.0,27.0,19.0
,40,9.0,66.0,21.0
,61,20.0,38.0,14.0
,27,177.0,24.0,4012.0
,12,36.0,31.0,9.0
,48,9.0,39.0,9.0
,250,12.0,36.0,22.0
,50,16.0,63.0,26.0
,526,9.0,30.0,9.0
,111,12.0,30.0,198.0
,57,47.0,18.0,9.0
,121,21.0,9.0,166.0
,470,61.0,9.0,9.0
,115,16.0,25.0,9.0
,140,174.0,21.0,9.0
,310,27.0,9.0,31.0
,59,12.0,67.0,28.0
,26,29.0,9.0,315.0
,107,335.0,9.0,26.0
,51,39.0,18.0,9.0
,58,23.0,9.0,74.0
,102,9.0,693.0,42.0
,59,264.0,12.0,25.0
,17,9.0,12.0,49.0
,376,22.0,9.0,15.0
,31,32.0,59.0,15.0
,27,15.0,27.0,9.0
,12,17.0,40.0,12.0
,112,19.0,86.0,15.0
,21,96.0,77.0,15.0
,154,9.0,62.0,26.0
,70,437.0,25.0,33.0
,22,12.0,9.0,9.0
,54,67.0,12.0,30.0
,9,110.0,12.0,12.0
,42,73.0,9.0,22.0
,92,9.0,12.0,82.0
,92,67.0,15.0,15.0
,277,9.0,15.0,35.0
,111,12.0,17.0,189.0
,129,25.0,19.0,18.0
,365,60.0,16.0,22.0
,1519,54.0,276.0,116.0
,9,43.0,462.0,9.0
,9,97.0,9.0,9.0
,173,225.0,15.0,9.0
,53,227.0,15.0,90.0
,200,9.0,14.0,84.0
,25,186.0,27.0,63.0
,43,9.0,21.0,586.0
,173,22.0,71.0,9.0
,9,39.0,1481.0,12.0
,26,368.0,9.0,12.0
,111,9.0,37.0,12.0
,148,12.0,59.0,132.0
,221,12.0,9.0,96.0
,39,15.0,58.0,16.0
,477,12.0,9.0,14.0
,15,41.0,21.0,83.0
,165,9.0,9.0,44.0
,52,19.0,14.0,28.0
,12,82.0,15.0,112.0
,88,9.0,9.0,133.0
,19,19.0,9.0,16.0
,12,9.0,15.0,28.0
,23,16.0,41.0,12.0
,61,12.0,27.0,115.0
,76,12.0,9.0,87.0
,12,12.0,9.0,67.0
,67,28.0,18.0,188.0
,83,18.0,14.0,29.0
,9,219.0,9.0,9.0
,36,9.0,72.0,9.0
,46,407.0,22.0,9.0
,40,24.0,40.0,404.0
,313,68.0,12.0,21.0
,40,27.0,68.0,45.0
,29,9.0,40.0,111.0
,349,27.0,91.0,56.0
,1806,32.0,24.0,9.0
,16,12.0,25.0,12.0
,37,27.0,44.0,37.0
,47,9.0,18.0,12.0
,648,15.0,59.0,9.0
,50,19.0,72.0,15.0
,124,20.0,40.0,78.0
,40,43.0,46.0,39.0
,198,149.0,9.0,38.0
,47,52.0,36.0,21.0
,24,21.0,20.0,12.0
,57,9.0,9.0,9.0
,26,162.0,9.0,9.0
,200,26.0,31.0,15.0
,219,1087.0,198.0,9.0
,190,9.0,19.0,9.0
,12,38.0,62.0,12.0
,67,20.0,9.0,9.0
,152,12.0,198.0,12.0
,145,335.0,36.0,12.0
,560,158.0,24.0,56.0
,1404,29.0,25.0,64.0
,22,23.0,9.0,328.0
,9,37.0,32.0,52.0
,168,9.0,26.0,9.0
,40,59.0,129.0,21.0
,196,9.0,70.0,22.0
,66,50.0,90.0,15.0
,20,9.0,9.0,9.0
,63,32.0,116.0,722.0
,336,73.0,12.0,9.0
,188,27.0,87.0,45.0
,77,200.0,34.0,25.0
,129,29.0,18.0,19.0
,32,14.0,390.0,37.0
,390,14.0,15.0,48.0
,113,9.0,24.0,9.0
,343,29.0,65.0,14.0
,356,109.0,32.0,17.0
,51,127.0,49.0,382.0
,242,45.0,39.0,26.0
,296,24.0,12.0,60.0
,69,9.0,19.0,9.0
,184,51.0,14.0,111.0
,68,12.0,35.0,50.0
,9,43.0,27.0,25.0
,42,26.0,59.0,9.0
,210,22.0,75.0,9.0
,298,18.0,18.0,32.0
,502,12.0,62.0,9.0
,41,251.0,21.0,9.0
,26,31.0,9.0,22.0
,87,126.0,36.0,48.0
,161,65.0,18.0,18.0
,79,69.0,12.0,29.0
,54,14.0,15.0,9.0
,268,12.0,63.0,178.0
,58,25.0,16.0,20.0
,25,38.0,9.0,15.0
,65,16.0,12.0,9.0
,140,104.0,9.0,16.0
,25,53.0,118.0,28.0
,88,15.0,151.0,36.0
,116,39.0,27.0,19.0
,15,12.0,19.0,33.0
,18,15.0,9.0,125.0
,24,14.0,9.0,48.0
,12,34.0,9.0,9.0
,199,9.0,192.0,21.0
,29,36.0,21.0,188.0
,207,9.0,22.0,9.0
,1085,62.0,90.0,14.0
,156,45.0,40.0,45.0
,131,172.0,38.0,96.0
,33,33.0,31.0,248.0
,61,9.0,129.0,16.0
,189,12.0,9.0,9.0
,87,12.0,47.0,12.0
,99,36.0,15.0,29.0
,9,65.0,27.0,76.0
,883,80.0,20.0,67.0
,9,22.0,9.0,28.0
,320,9.0,26.0,12.0
,45,9.0,15.0,9.0
,244,12.0,24.0,87.0
,18,127.0,15.0,9.0
,84,411.0,9.0,20.0
,124,12.0,21.0,22.0
,120,9.0,61.0,9.0
,12,12.0,15.0,9.0
,131,9.0,167.0,59.0
,126,39.0,42.0,15.0
,134,80.0,40.0,25.0
,36,18.0,38.0,30.0
,28,147.0,48.0,9.0
,140,97.0,18.0,27.0
,30,15.0,14.0,9.0
,64,15.0,9.0,50.0
,576,9.0,15.0,9.0
,110,9.0,40.0,12.0
,355,15.0,38.0,74.0
,160,12.0,23.0,65.0
,1174,23.0,30.0,19.0
,245,33.0,20.0,18.0
,249,31.0,15.0,65.0
,63,9.0,60.0,28.0
,9,170.0,16.0,44.0
,55,15.0,34.0,50.0
,265,41.0,19.0,9.0
,15,9.0,817.0,50.0
,22,19.0,29.0,42.0
,56,18.0,20.0,36.0
,37,30.0,15.0,18.0
,89,29.0,51.0,29.0
,98,12.0,20.0,266.0
,67,14.0,25.0,12.0
,36,46.0,41.0,31.0
,69,33.0,108.0,46.0
,23,24.0,54.0,34.0
,142,9.0,1176.0,26.0
,28,24.0,15.0,39.0
,395,44.0,49.0,27.0
,32,31.0,46.0,9.0
,117,32.0,51.0,22.0
,15,16.0,9.0,9.0
,9,23.0,22.0,32.0
,33,14.0,71.0,47.0
,24,240.0,27.0,17.0
,390,20.0,15.0,21.0
,15,98.0,19.0,12.0
,12,70.0,42.0,9.0
,659,25.0,45.0,71.0
,54,17.0,41.0,193.0
,41,60.0,15.0,9.0
,49,171.0,15.0,94.0
,9,123.0,15.0,31.0
,50,26.0,24.0,132.0
,392,12.0,37.0,34.0
,227,83.0,27.0,27.0
,68,99.0,12.0,45.0
,114,81.0,20.0,26.0
,44,41.0,9.0,9.0
,49,115.0,21.0,40.0
,68,9.0,209.0,15.0
,9,9.0,9.0,14.0
,928,15.0,18.0,66.0
,96,12.0,176.0,45.0
,112,9.0,220.0,12.0
,33,9.0,41.0,77.0
,18,19.0,384.0,9.0
,56,9.0,12.0,12.0
,90,15.0,18.0,9.0
,548,313.0,50.0,9.0
,178,24.0,15.0,24.0
,61,65.0,463.0,94.0
,210,15.0,63.0,48.0
,43,12.0,109.0,12.0
,549,52.0,60.0,18.0
,116,21.0,9.0,15.0
,230,87.0,18.0,53.0
,15,93.0,42.0,19.0
,27,68.0,28.0,9.0
,36,15.0,9.0,69.0
,78,26.0,18.0,16.0
,49,21.0,78.0,18.0
,40,87.0,15.0,12.0
,45,9.0,12.0,12.0
,31,15.0,9.0,34.0
,22,20.0,23.0,52.0
,97,43.0,85.0,56.0
,227,489.0,14.0,78.0
,16,104.0,22.0,420.0
,178,9.0,253.0,15.0
,124,22.0,12.0,336.0
,42,12.0,33.0,57.0
,65,12.0,9.0,9.0
,118,9.0,55.0,15.0
,38,9.0,20.0,9.0
,56,12.0,287.0,31.0
,197,124.0,157.0,284.0
,226,16.0,15.0,18.0
,29,49.0,19.0,9.0
,132,12.0,9.0,12.0
,31,81.0,18.0,38.0
,9,15.0,27.0,25.0
,65,62.0,128.0,15.0
,213,20.0,24.0,62.0
,207,25.0,63.0,12.0
,549,31.0,9.0,43.0
,31,27.0,111.0,12.0
,9,138.0,30.0,12.0
,22,12.0,107.0,25.0
,66,9.0,23.0,15.0
,455,46.0,14.0,12.0
,12,9.0,49.0,19.0
,51,33.0,48.0,143.0
,97,31.0,35.0,16.0
,216,15.0,9.0,9.0
,115,108.0,69.0,27.0
,23,187.0,21.0,9.0
,2766,38.0,21.0,25.0
,14,77.0,32.0,9.0
,16,21.0,18.0,36.0
,9,9.0,12.0,9.0
,51,9.0,9.0,71.0
,387,22.0,64.0,58.0
,129,319.0,14.0,9.0
,15,9.0,118.0,42.0
,518,170.0,12.0,71.0
,115,24.0,19.0,26.0
,292,9.0,9.0,9.0
,31,12.0,72.0,9.0
,362,9.0,15.0,53.0
,203,234.0,542.0,15.0
,9,26.0,9.0,21.0
,15,9.0,12.0,18.0
,734,33.0,92.0,9.0
,34,20.0,23.0,9.0
,30,35.0,15.0,12.0
,165,21.0,9.0,68.0
,81,110.0,66.0,12.0
,39,18.0,9.0,55.0
,240,14.0,51.0,27.0
,158,12.0,120.0,9.0
,155,9.0,21.0,15.0
,23,14.0,17.0,22.0
,162,92.0,17.0,119.0
,63,38.0,65.0,12.0
,91,214.0,202.0,9.0
,15,12.0,371.0,12.0
,22,37.0,38.0,12.0
,9,16.0,15.0,19.0
,19,9.0,129.0,160.0
,284,12.0,9.0,9.0
,15,9.0,15.0,41.0
,34,36.0,14.0,23.0
,99,39.0,12.0,9.0
,48,12.0,9.0,9.0
,89,179.0,12.0,9.0
,34,50.0,6.0,18.0
,57,36.0,108.0,158.0
,27,47.0,40.0,19.0
,46,9.0,9.0,47.0
,16,112.0,52.0,38.0
,159,9.0,92.0,38.0
,14,75.0,159.0,9.0
,20,15.0,67.0,9.0
,43,30.0,33.0,9.0
,135,19.0,26.0,24.0
,366,18.0,20.0,35.0
,28,41.0,9.0,35.0
,114,56.0,53.0,50.0
,32,9.0,93.0,9.0
,133,79.0,12.0,33.0
,270,15.0,9.0,9.0
,277,12.0,9.0,48.0
,65,46.0,9.0,22.0
,471,15.0,9.0,12.0
,36,840.0,832.0,18.0
,237,9.0,9.0,9.0
,156,24.0,35.0,9.0
,110,84.0,47.0,104.0
,120,29.0,9.0,40.0
,339,22.0,9.0,103.0
,22,19.0,37.0,15.0
,83,66.0,100.0,15.0
,283,9.0,23.0,17.0
,196,111.0,12.0,12.0
,61,37.0,24.0,12.0
,59,9.0,29.0,24.0
,23,9.0,43.0,9.0
,250,9.0,46.0,9.0
,50,373.0,15.0,9.0
,177,9.0,12.0,31.0
,135,12.0,37.0,9.0
,50,9.0,26.0,265.0
,17,23.0,59.0,48.0
,94,14.0,14.0,9.0
,160,9.0,31.0,33.0
,121,17.0,37.0,24.0
,24,47.0,113.0,18.0
,492,93.0,45.0,24.0
,15,19.0,26.0,254.0
,69,15.0,9.0,18.0
,39,6.0,115.0,45.0
,12,97.0,23.0,12.0
,159,91.0,22.0,19.0
,46,97.0,16.0,19.0
,174,155.0,18.0,12.0
,9,17.0,18.0,152.0
,28,24.0,54.0,9.0
,190,31.0,22.0,9.0
,227,9.0,12.0,9.0
,22,12.0,52.0,61.0
,224,9.0,34.0,44.0
,49,24.0,29.0,152.0
,333,8.0,200.0,78.0
,295,41.0,12.0,30.0
,50,12.0,18.0,230.0
,56,18.0,116.0,9.0
,14,41.0,118.0,9.0
,14,90.0,46.0,9.0
,15,17.0,42.0,12.0
,87,66.0,26.0,14.0
,105,70.0,9.0,40.0
,234,19.0,40.0,55.0
,48,9.0,42.0,32.0
,32,62.0,53.0,9.0
,69,27.0,93.0,26.0
,144,72.0,9.0,74.0
,25,37.0,9.0,88.0
,15,67.0,9.0,12.0
,41,12.0,15.0,9.0
,35,9.0,22.0,1556.0
,17,19.0,21.0,84.0
,151,72.0,15.0,116.0
,117,9.0,21.0,9.0
,972,6.0,28.0,9.0
,12,23.0,51.0,79.0
,460,41.0,31.0,77.0
,24,79.0,52.0,25.0
,12,9.0,110.0,40.0
,1286,9.0,23.0,129.0
,122,32.0,58.0,9.0
,317,104.0,15.0,368.0
,281,25.0,161.0,88.0
,82,21.0,15.0,9.0
,936,9.0,129.0,42.0
,50,35.0,9.0,12.0
,53,357.0,19.0,9.0
,130,39.0,9.0,31.0
,296,355.0,9.0,19.0
,9,9.0,40.0,21.0
,114,67.0,18.0,15.0
,9,18.0,15.0,37.0
,551,9.0,23.0,9.0
,187,15.0,98.0,9.0
,302,9.0,64.0,17.0
,57,9.0,14.0,60.0
,78,9.0,32.0,12.0
,44,15.0,12.0,12.0
,21,98.0,28.0,9.0
,14,165.0,12.0,21.0
,546,33.0,53.0,15.0
,332,105.0,110.0,35.0
,92,24.0,15.0,12.0
,561,21.0,38.0,12.0
,207,22.0,54.0,15.0
,54,43.0,36.0,45.0
,250,45.0,25.0,30.0
,55,9.0,55.0,9.0
,206,296.0,417.0,12.0
,233,34.0,29.0,9.0
,433,9.0,41.0,291.0
,120,76.0,1149.0,37.0
,24,9.0,20.0,22.0
,121,12.0,9.0,12.0
,1311,9.0,19.0,32.0
,15,15.0,48.0,15.0
,44,15.0,9.0,9.0
,208,72.0,16.0,27.0
,9,28.0,408.0,21.0
,227,15.0,9.0,37.0
,18,82.0,9.0,48.0
,15,123.0,19.0,163.0
,52,54.0,1227.0,9.0
,29,12.0,24.0,12.0
,55,56.0,18.0,45.0
,98,81.0,25.0,12.0
,79,32.0,22.0,9.0
,9,1003.0,9.0,9.0
,30,37.0,15.0,15.0
,117,9.0,12.0,31.0
,49,21.0,45.0,70.0
,78,9.0,50.0,39.0
,40,9.0,24.0,44.0
,82,21.0,20.0,35.0
,12,70.0,126.0,79.0
,23,24.0,9.0,19.0
,18,25.0,14.0,27.0
,15,93.0,18.0,19.0
,28,45.0,52.0,9.0
,31,38.0,15.0,9.0
,145,72.0,9.0,12.0
,285,44.0,58.0,9.0
,15,174.0,9.0,9.0
,33,58.0,9.0,45.0
,233,12.0,134.0,18.0
,1649,61.0,82.0,64.0
,9,19.0,18.0,160.0
,141,28.0,12.0,9.0
,34,12.0,113.0,12.0
,44,55.0,12.0,12.0
,24,63.0,38.0,94.0
,116,226.0,9.0,17.0
,190,59.0,28.0,15.0
,64,64.0,16.0,137.0
,310,14.0,26.0,78.0
,85,18.0,43.0,12.0
,98,12.0,12.0,15.0
,383,131.0,14.0,12.0
,15,24.0,73.0,12.0
,30,18.0,9.0,26.0
,18,55.0,15.0,67.0
,228,30.0,9.0,30.0
,169,30.0,9.0,9.0
,51,31.0,9.0,64.0
,37,54.0,96.0,9.0
,39,371.0,12.0,15.0
,127,87.0,12.0,17.0
,156,255.0,12.0,23.0
,102,15.0,9.0,63.0
,394,9.0,44.0,12.0
,85,9.0,33.0,230.0
,69,85.0,66.0,27.0
,167,88.0,9.0,9.0
,31,9.0,9.0,9.0
,235,12.0,15.0,100.0
,205,23.0,37.0,56.0
,584,30.0,17.0,9.0
,23,32.0,21.0,32.0
,84,28.0,12.0,31.0
,26,9.0,14.0,123.0
,53,24.0,15.0,12.0
,200,37.0,25.0,9.0
,241,14.0,9.0,9.0
,177,67.0,141.0,9.0
,55,126.0,147.0,9.0
,205,17.0,29.0,87.0
,633,9.0,55.0,58.0
,212,47.0,20.0,24.0
,625,87.0,12.0,33.0
,19,27.0,47.0,15.0
,410,9.0,23.0,32.0
,30,28.0,87.0,78.0
,231,47.0,42.0,9.0
,15,53.0,63.0,9.0
,140,34.0,27.0,15.0
,90,26.0,10.0,50.0
,463,20.0,9.0,18.0
,739,18.0,14.0,31.0
,18,9.0,23.0,12.0
,35,27.0,67.0,26.0
,9,9.0,56.0,37.0
,9,9.0,57.0,21.0
,168,50.0,9.0,22.0
,134,9.0,34.0,333.0
,232,9.0,9.0,229.0
,9,9.0,9.0,32.0
,216,12.0,9.0,15.0
,65,553.0,25.0,178.0
,18,40.0,9.0,17.0
,29,61.0,9.0,15.0
,1856,9.0,39.0,12.0
,62,18.0,21.0,9.0
,151,40.0,12.0,9.0
,65,19.0,43.0,30.0
,86,70.0,37.0,195.0
,34,9.0,34.0,68.0
,22,148.0,12.0,74.0
,49,265.0,19.0,19.0
,25,14.0,35.0,12.0
,418,9.0,9.0,170.0
,41,23.0,58.0,12.0
,122,9.0,55.0,12.0
,86,12.0,42.0,159.0
,15,9.0,361.0,9.0
,541,9.0,30.0,127.0
,87,63.0,9.0,12.0
,103,31.0,21.0,24.0
,24,45.0,42.0,12.0
,87,9.0,9.0,9.0
,9,58.0,14.0,25.0
,223,21.0,36.0,59.0
,299,17.0,9.0,18.0
,67,21.0,48.0,24.0
,27,33.0,12.0,12.0
,104,15.0,34.0,9.0
,12,19.0,55.0,9.0
,56,9.0,30.0,12.0
,14,24.0,14.0,9.0
,55,26.0,12.0,9.0
,19,14.0,9.0,9.0
,19,18.0,14.0,108.0
,41,447.0,45.0,52.0
,105,61.0,51.0,19.0
,9,31.0,21.0,9.0
,126,48.0,165.0,105.0
,56,21.0,275.0,9.0
,649,30.0,24.0,190.0
,109,42.0,17.0,50.0
,53,9.0,24.0,9.0
,22,99.0,23.0,29.0
,29,30.0,37.0,21.0
,197,12.0,197.0,12.0
,37,60.0,22.0,15.0
,36,18.0,42.0,16.0
,40,21.0,9.0,15.0
,134,19.0,37.0,84.0
,417,17.0,102.0,163.0
,56,12.0,42.0,282.0
,54,145.0,15.0,26.0
,40,71.0,18.0,48.0
,519,741.0,18.0,9.0
,86,9.0,9.0,110.0
,19,9.0,37.0,275.0
,692,9.0,73.0,42.0
,117,245.0,15.0,9.0
,155,18.0,19.0,30.0
,23,68.0,9.0,96.0
,148,24.0,34.0,6.0
,98,9.0,18.0,9.0
,45,26.0,27.0,27.0
,35,9.0,9.0,28.0
,2432,28.0,27.0,15.0
,78,26.0,538.0,22.0
,70,25.0,9.0,17.0
,117,34.0,18.0,31.0
,41,66.0,16.0,133.0
,54,37.0,66.0,18.0
,104,38.0,27.0,9.0
,194,35.0,9.0,9.0
,249,39.0,20.0,9.0
,306,14.0,71.0,12.0
,39,14.0,58.0,27.0
,80,12.0,12.0,69.0
,36,20.0,9.0,9.0
,107,43.0,18.0,71.0
,65,21.0,33.0,20.0
,39,22.0,23.0,9.0
,18,9.0,12.0,21.0
,52,560.0,35.0,24.0
,25,77.0,15.0,9.0
,484,78.0,9.0,9.0
,12,22.0,30.0,9.0
,9,67.0,14.0,218.0
,171,9.0,9.0,14.0
,159,94.0,22.0,12.0
,24,34.0,700.0,9.0
,43,9.0,69.0,37.0
,40,43.0,9.0,9.0
,95,14.0,23.0,22.0
,446,53.0,287.0,9.0
,27,52.0,38.0,102.0
,33,77.0,9.0,36.0
,79,57.0,9.0,80.0
,27,9.0,9.0,15.0
,552,12.0,9.0,36.0
,12,15.0,12.0,9.0
,32,9.0,12.0,12.0
,84,15.0,18.0,18.0
,85,38.0,9.0,83.0
,31,17.0,15.0,9.0
,26,9.0,42.0,9.0
,302,27.0,12.0,9.0
,976,12.0,12.0,18.0
,226,16.0,28.0,67.0
,268,9.0,9.0,28.0
,41,39.0,19.0,9.0
,38,58.0,9.0,40.0
,17,48.0,9.0,9.0
,102,9.0,21.0,9.0
,156,47.0,86.0,47.0
,35,17.0,61.0,28.0
,54,12.0,12.0,88.0
,99,26.0,29.0,23.0
,273,26.0,9.0,53.0
,24,21.0,64.0,145.0
,9,9.0,1372.0,9.0
,62,32.0,9.0,3967.0
,55,46.0,9.0,9.0
,252,9.0,27.0,17.0
,161,9.0,9.0,68.0
,158,29.0,28.0,77.0
,49,43.0,23.0,31.0
,502,9.0,12.0,59.0
,27,9.0,21.0,38.0
,76,93.0,12.0,64.0
,282,15.0,9.0,21.0
,12,101.0,9.0,15.0
,58,37.0,19.0,44.0
,42,12.0,26.0,139.0
,31,31.0,55.0,9.0
,27,15.0,32.0,109.0
,1047,25.0,9.0,9.0
,120,9.0,23.0,39.0
,159,9.0,21.0,9.0
,97,39.0,22.0,144.0
,15,67.0,12.0,32.0
,22,12.0,9.0,92.0
,39,30.0,15.0,12.0
,1292,33.0,27.0,16.0
,27,134.0,9.0,9.0
,69,46.0,9.0,21.0
,109,90.0,21.0,57.0
,105,21.0,28.0,52.0
,78,23.0,12.0,48.0
,272,9.0,138.0,45.0
,83,9.0,21.0,12.0
,393,37.0,27.0,15.0
,9,8.0,21.0,113.0
,184,64.0,48.0,90.0
,9,15.0,9.0,123.0
,25,95.0,9.0,15.0
,53,18.0,33.0,25.0
,79,40.0,29.0,9.0
,32,24.0,9.0,9.0
,76,179.0,9.0,9.0
,59,34.0,9.0,12.0
,46,35.0,12.0,9.0
,35,19.0,9.0,27.0
,86,9.0,18.0,118.0
,12,9.0,9.0,18.0
,38,15.0,20.0,9.0
,26,87.0,9.0,9.0
,491,76.0,67.0,15.0
,69,21.0,139.0,9.0
,1085,14.0,31.0,9.0
,1009,68.0,624.0,554.0
,15,121.0,15.0,85.0
,248,12.0,36.0,23.0
,95,9.0,59.0,45.0
,39,21.0,66.0,9.0
,100,69.0,36.0,24.0
,207,50.0,169.0,299.0
,198,18.0,20.0,15.0
,9,15.0,15.0,12.0
,69,9.0,15.0,12.0
,24,89.0,31.0,175.0
,28,23.0,9.0,19.0
,52,14.0,22.0,39.0
,117,23.0,29.0,41.0
,61,9.0,15.0,51.0
,53,18.0,90.0,15.0
,26,36.0,9.0,37.0
,36,9.0,24.0,25.0
,76,9.0,27.0,68.0
,90,25.0,21.0,26.0
,88,35.0,12.0,25.0
,132,24.0,12.0,81.0
,103,9.0,15.0,14.0
,173,9.0,54.0,23.0
,106,9.0,42.0,45.0
,150,34.0,9.0,20.0
,24,27.0,18.0,9.0
,108,32.0,28.0,87.0
,89,9.0,9.0,9.0
,147,9.0,35.0,98.0
,38,27.0,51.0,9.0
,291,15.0,12.0,48.0
,145,63.0,15.0,37.0
,129,21.0,9.0,14.0
,23,12.0,24.0,26.0
,66,9.0,12.0,307.0
,22,57.0,14.0,9.0
,106,15.0,9.0,21.0
,46,12.0,15.0,15.0
,475,12.0,18.0,12.0
,23,14.0,38.0,12.0
,296,9.0,12.0,84.0
,277,36.0,22.0,118.0
,9,57.0,18.0,50.0
,174,70.0,15.0,12.0
,137,9.0,9.0,65.0
,9,364.0,12.0,29.0
,62,64.0,12.0,41.0
,253,9.0,15.0,21.0
,97,21.0,9.0,55.0
,57,12.0,9.0,9.0
,103,14.0,21.0,465.0
,19,68.0,43.0,35.0
,254,24.0,15.0,18.0
,88,9.0,28.0,57.0
,19,45.0,55.0,12.0
,47,33.0,48.0,14.0
,119,62.0,15.0,12.0
,130,128.0,30.0,21.0
,390,169.0,15.0,15.0
,12,12.0,45.0,80.0
,429,21.0,9.0,25.0
,116,9.0,9.0,9.0
,47,9.0,32.0,41.0
,153,85.0,41.0,84.0
,26,72.0,15.0,15.0
,135,35.0,29.0,15.0
,9,15.0,9.0,12.0
,74,15.0,9.0,18.0
,453,34.0,39.0,37.0
,579,12.0,12.0,78.0
,20,32.0,726.0,14.0
,12,176.0,9.0,100.0
